"","date","station_no","station_name","arrival"
"1",20170101,1024,"한티",6603
"2",20170101,202,"을지로입구",22946
"3",20170101,212,"건대입구",32671
"4",20170101,216,"잠실(송파구청)",41592
"5",20170101,219,"삼성(무역센터)",20886
"6",20170101,230,"신림",42005
"7",20170101,234,"신도림",31713
"8",20170101,240,"신촌",28147
"9",20170101,326,"압구정",12615
"10",20170101,411,"노원",14953
"11",20170101,416,"미아사거리",16216
"12",20170101,2522,"오목교(목동운동장앞)",11555
"13",20170101,2526,"신길",1525
"14",20170101,2548,"천호(풍납토성)",11238
"15",20170107,212,"건대입구",56160
"16",20170107,216,"잠실(송파구청)",86909
"17",20170107,219,"삼성(무역센터)",66702
"18",20170107,230,"신림",67577
"19",20170107,234,"신도림",63137
"20",20170107,240,"신촌",57172
"21",20170107,326,"압구정",36803
"22",20170107,411,"노원",25651
"23",20170107,416,"미아사거리",30142
"24",20170107,202,"을지로입구",42223
"25",20170107,2522,"오목교(목동운동장앞)",24303
"26",20170107,2526,"신길",2593
"27",20170107,2548,"천호(풍납토성)",22321
"28",20170107,1024,"한티",13681
"29",20170108,202,"을지로입구",30714
"30",20170108,212,"건대입구",38714
"31",20170108,216,"잠실(송파구청)",59184
"32",20170108,219,"삼성(무역센터)",29016
"33",20170108,230,"신림",49477
"34",20170108,234,"신도림",42536
"35",20170108,240,"신촌",35767
"36",20170108,326,"압구정",19217
"37",20170108,411,"노원",18188
"38",20170108,416,"미아사거리",21193
"39",20170108,2526,"신길",1759
"40",20170108,2548,"천호(풍납토성)",15132
"41",20170108,2522,"오목교(목동운동장앞)",16314
"42",20170108,1024,"한티",9144
"43",20170114,2548,"천호(풍납토성)",19962
"44",20170114,2522,"오목교(목동운동장앞)",23203
"45",20170114,2526,"신길",2247
"46",20170114,326,"압구정",34530
"47",20170114,411,"노원",23631
"48",20170114,416,"미아사거리",29750
"49",20170114,202,"을지로입구",38958
"50",20170114,212,"건대입구",51313
"51",20170114,216,"잠실(송파구청)",82966
"52",20170114,219,"삼성(무역센터)",46356
"53",20170114,230,"신림",64959
"54",20170114,234,"신도림",59649
"55",20170114,240,"신촌",54082
"56",20170114,1024,"한티",13123
"57",20170115,326,"압구정",17792
"58",20170115,202,"을지로입구",28554
"59",20170115,212,"건대입구",36546
"60",20170115,216,"잠실(송파구청)",58240
"61",20170115,219,"삼성(무역센터)",34758
"62",20170115,2548,"천호(풍납토성)",14699
