"","date","IsDustyDay"
"1",20170101,1
"2",20170107,1
"3",20170108,0
"4",20170114,0
"5",20170115,0
"6",20170121,1
"7",20170122,1
"8",20170128,0
"9",20170129,0
"10",20170204,1
"11",20170205,1
"12",20170211,0
"13",20170212,0
"14",20170218,0
"15",20170219,0
"16",20170225,0
"17",20170226,0
"18",20170304,1
"19",20170305,1
"20",20170311,1
"21",20170312,1
"22",20170318,1
"23",20170319,1
"24",20170325,1
"25",20170326,1
"26",20170401,0
"27",20170402,0
"28",20170408,1
"29",20170409,0
"30",20170415,1
"31",20170416,1
"32",20170422,1
"33",20170423,1
"34",20170429,1
"35",20170430,1
"36",20170506,1
"37",20170507,1
"38",20170513,1
"39",20170514,1
"40",20170520,0
"41",20170521,0
"42",20170527,0
"43",20170528,0
"44",20170603,0
"45",20170604,0
"46",20170610,1
"47",20170611,0
"48",20170617,1
"49",20170618,0
"50",20170624,0
"51",20170625,0
"52",20170701,0
"53",20170702,0
"54",20170708,0
"55",20170709,0
"56",20170715,0
"57",20170716,0
"58",20170722,1
"59",20170723,1
"60",20170729,0
"61",20170730,0
"62",20170805,0
"63",20170806,0
"64",20170812,0
"65",20170813,0
"66",20170819,0
"67",20170820,0
"68",20170826,0
"69",20170827,0
"70",20170902,0
"71",20170903,0
"72",20170909,1
"73",20170910,1
"74",20170916,0
"75",20170917,0
"76",20170923,1
"77",20170924,1
"78",20170930,0
"79",20171001,0
"80",20171007,0
"81",20171008,0
"82",20171014,0
"83",20171015,0
"84",20171021,0
"85",20171022,0
"86",20171028,0
"87",20171029,1
"88",20171104,1
"89",20171105,0
"90",20171111,1
"91",20171112,0
"92",20171118,0
"93",20171119,0
"94",20171125,0
"95",20171126,0
"96",20171202,0
"97",20171203,1
"98",20171209,0
"99",20171210,0
"100",20171216,1
"101",20171217,0
"102",20171223,1
"103",20171224,1
"104",20171230,1
"105",20171231,1
"106",20180106,1
"107",20180107,1
"108",20180113,1
"109",20180114,1
"110",20180120,1
"111",20180121,1
"112",20180127,0
"113",20180128,0
"114",20180203,0
"115",20180204,0
"116",20180210,1
"117",20180211,1
"118",20180218,0
"119",20180224,1
"120",20180225,0
"121",20180303,1
"122",20180304,0
"123",20180310,0
"124",20180311,1
"125",20180317,0
"126",20180318,1
"127",20180414,0
"128",20180415,1
"129",20180421,1
"130",20180422,0
"131",20180428,1
"132",20180429,1
"133",20180505,0
"134",20180506,0
"135",20180512,0
"136",20180513,0
"137",20180520,0
"138",20180527,1
"139",20180602,1
"140",20180630,1
"141",20180701,0
"142",20180707,0
"143",20180708,0
"144",20180714,0
"145",20180715,0
"146",20180721,0
"147",20180722,0
"148",20180728,0
"149",20180729,0
"150",20180804,0
"151",20180805,0
"152",20180811,0
"153",20180812,0
"154",20180818,0
"155",20180819,0
"156",20180825,0
"157",20180826,0
"158",20180901,0
"159",20180902,0
"160",20180908,0
"161",20180909,0
"162",20180915,0
"163",20180916,0
"164",20180922,0
"165",20180923,0
"166",20180929,0
"167",20180930,0
"168",20181006,0
"169",20181007,0
"170",20181013,0
"171",20181014,0
"172",20181020,0
"173",20181021,0
"174",20181027,0
"175",20181028,0
"176",20181103,1
"177",20181104,0
"178",20181110,1
"179",20181111,1
"180",20181117,0
"181",20181118,0
"182",20181124,0
"183",20181125,0
"184",20181201,0
"185",20181202,0
"186",20181208,0
"187",20181209,0
"188",20181215,1
"189",20181216,1
"190",20181222,1
"191",20181223,1
"192",20181229,0
"193",20181230,0
"194",20190105,1
"195",20190106,1
"196",20190112,1
"197",20190113,1
"198",20190119,1
"199",20190120,1
"200",20190126,0
"201",20190127,0
"202",20190202,1
"203",20190203,0
"204",20190209,0
"205",20190210,0
"206",20190216,1
"207",20190217,0
"208",20190223,1
"209",20190224,1
"210",20190302,1
"211",20190303,1
"212",20190323,0
"213",20190324,0
"214",20190330,0
"215",20190331,0
"216",20190406,1
"217",20190407,0
"218",20190413,0
"219",20190414,0
"220",20190420,0
"221",20190421,0
"222",20190427,0
"223",20190428,0
"224",20190504,1
"225",20190505,1
"226",20190511,1
"227",20190512,1
"228",20190518,0
"229",20190519,0
"230",20190525,1
"231",20190526,0
"232",20190601,0
"233",20190602,0
"234",20190608,0
"235",20190609,0
"236",20190615,0
"237",20190616,0
"238",20190622,0
"239",20190623,0
"240",20190629,0
"241",20190630,0
"242",20190706,0
"243",20190707,0
"244",20190713,0
"245",20190714,0
"246",20190720,0
"247",20190721,0
"248",20190727,0
"249",20190728,0
"250",20190803,0
"251",20190804,0
"252",20190810,0
"253",20190811,0
"254",20190817,0
"255",20190818,0
"256",20190824,0
"257",20190825,0
"258",20190831,0
"259",20190901,0
"260",20190914,0
"261",20190915,0
"262",20190921,0
"263",20190922,0
"264",20190928,0
"265",20190929,0
"266",20191005,0
"267",20191006,0
"268",20191012,0
"269",20191013,0
"270",20191019,0
"271",20191020,0
"272",20191026,0
"273",20191027,0
"274",20191102,1
"275",20191103,1
"276",20191109,0
"277",20191110,0
"278",20191116,0
"279",20191117,0
"280",20191123,0
"281",20191124,0
"282",20191130,0
