"","date","IsDustyDay"
"1",20180101,0
"2",20180102,0
"3",20180103,0
"4",20180104,0
"5",20180105,1
"6",20180106,1
"7",20180107,1
"8",20180108,1
"9",20180109,0
"10",20180110,0
"11",20180111,0
"12",20180112,0
"13",20180113,1
"14",20180114,1
"15",20180115,1
"16",20180116,1
"17",20180117,1
"18",20180118,1
"19",20180119,1
"20",20180120,1
"21",20180121,1
"22",20180122,0
"23",20180123,0
"24",20180124,0
"25",20180125,0
"26",20180126,0
"27",20180127,0
"28",20180128,0
"29",20180129,0
"30",20180130,0
"31",20180131,0
"32",20180201,0
"33",20180202,1
"34",20180203,0
"35",20180204,0
"36",20180205,0
"37",20180206,0
"38",20180207,0
"39",20180208,1
"40",20180209,1
"41",20180210,1
"42",20180211,1
"43",20180212,0
"44",20180213,1
"45",20180214,1
"46",20180215,0
"47",20180216,0
"48",20180218,0
"49",20180219,1
"50",20180220,1
"51",20180221,0
"52",20180222,0
"53",20180223,1
"54",20180224,1
"55",20180225,0
"56",20180226,1
"57",20180227,1
"58",20180228,1
"59",20180301,0
"60",20180302,1
"61",20180303,1
"62",20180304,0
"63",20180305,0
"64",20180306,0
"65",20180307,0
"66",20180308,0
"67",20180309,1
"68",20180310,0
"69",20180311,1
"70",20180312,1
"71",20180313,1
"72",20180314,0
"73",20180315,0
"74",20180316,0
"75",20180317,0
"76",20180318,1
"77",20180319,0
"78",20180320,0
"79",20180409,0
"80",20180410,0
"81",20180411,1
"82",20180412,0
"83",20180413,0
"84",20180414,0
"85",20180415,1
"86",20180416,0
"87",20180417,1
"88",20180418,1
"89",20180419,1
"90",20180421,1
"91",20180422,0
"92",20180423,0
"93",20180424,0
"94",20180425,0
"95",20180426,0
"96",20180427,1
"97",20180428,1
"98",20180429,1
"99",20180430,1
"100",20180501,1
"101",20180502,0
"102",20180503,0
"103",20180504,0
"104",20180505,0
"105",20180506,0
"106",20180507,0
"107",20180508,0
"108",20180509,0
"109",20180510,0
"110",20180511,1
"111",20180512,0
"112",20180513,0
"113",20180514,1
"114",20180515,1
"115",20180516,0
"116",20180517,0
"117",20180520,0
"118",20180521,0
"119",20180527,1
"120",20180528,1
"121",20180601,0
"122",20180602,1
"123",20180604,0
"124",20180605,0
"125",20180622,0
"126",20180626,1
"127",20180630,1
"128",20180701,0
"129",20180702,0
"130",20180703,0
"131",20180706,0
"132",20180707,0
"133",20180708,0
"134",20180709,0
"135",20180710,0
"136",20180711,0
"137",20180712,0
"138",20180713,0
"139",20180714,0
"140",20180715,0
"141",20180716,0
"142",20180717,0
"143",20180718,0
"144",20180719,0
"145",20180720,0
"146",20180721,0
"147",20180722,0
"148",20180723,0
"149",20180724,0
"150",20180725,0
"151",20180726,0
"152",20180727,0
"153",20180728,0
"154",20180729,0
"155",20180730,0
"156",20180731,0
"157",20180801,0
"158",20180802,0
"159",20180803,0
"160",20180804,0
"161",20180805,0
"162",20180806,0
"163",20180807,0
"164",20180808,0
"165",20180809,0
"166",20180810,0
"167",20180811,0
"168",20180812,0
"169",20180813,0
"170",20180814,0
"171",20180815,0
"172",20180816,0
"173",20180817,0
"174",20180818,0
"175",20180819,0
"176",20180820,0
"177",20180821,0
"178",20180822,0
"179",20180823,0
"180",20180824,0
"181",20180825,0
"182",20180826,0
"183",20180827,0
"184",20180828,0
"185",20180829,0
"186",20180830,0
"187",20180831,0
"188",20180901,0
"189",20180902,0
"190",20180903,0
"191",20180904,0
"192",20180905,0
"193",20180906,0
"194",20180907,0
"195",20180908,0
"196",20180909,0
"197",20180910,0
"198",20180911,0
"199",20180912,0
"200",20180913,0
"201",20180914,0
"202",20180915,0
"203",20180916,0
"204",20180917,0
"205",20180918,0
"206",20180919,0
"207",20180920,0
"208",20180921,0
"209",20180922,0
"210",20180923,0
"211",20180924,0
"212",20180925,0
"213",20180926,0
"214",20180927,0
"215",20180928,0
"216",20180929,0
"217",20180930,0
"218",20181001,0
"219",20181002,0
"220",20181003,0
"221",20181004,0
"222",20181005,0
"223",20181006,0
"224",20181007,0
"225",20181008,0
"226",20181009,0
"227",20181010,0
"228",20181011,0
"229",20181012,0
"230",20181013,0
"231",20181014,0
"232",20181015,1
"233",20181016,1
"234",20181017,0
"235",20181018,0
"236",20181019,0
"237",20181020,0
"238",20181021,0
"239",20181022,0
"240",20181023,1
"241",20181024,0
"242",20181025,0
"243",20181026,0
"244",20181027,0
"245",20181028,0
"246",20181029,0
"247",20181030,0
"248",20181031,0
"249",20181101,0
"250",20181102,0
"251",20181103,1
"252",20181104,0
"253",20181105,1
"254",20181106,1
"255",20181107,1
"256",20181108,0
"257",20181109,0
"258",20181110,1
"259",20181111,1
"260",20181112,0
"261",20181113,0
"262",20181114,0
"263",20181115,0
"264",20181116,1
"265",20181117,0
"266",20181118,0
"267",20181119,1
"268",20181120,0
"269",20181121,0
"270",20181122,0
"271",20181123,0
"272",20181124,0
"273",20181125,0
"274",20181126,1
"275",20181127,1
"276",20181128,1
"277",20181129,1
"278",20181130,1
"279",20181201,0
"280",20181202,0
"281",20181203,0
"282",20181204,0
"283",20181205,0
"284",20181206,0
"285",20181207,0
"286",20181208,0
"287",20181209,0
"288",20181210,0
"289",20181211,0
"290",20181212,0
"291",20181213,0
"292",20181214,0
"293",20181215,1
"294",20181216,1
"295",20181217,1
"296",20181218,0
"297",20181219,1
"298",20181220,1
"299",20181221,1
"300",20181222,1
"301",20181223,1
"302",20181224,0
"303",20181225,0
"304",20181226,1
"305",20181227,0
"306",20181228,0
"307",20181229,0
"308",20181230,0
"309",20181231,0
