"","date","IsDustyDay"
"1",20170103,1
"2",20170104,1
"3",20170105,0
"4",20170110,0
"5",20170111,0
"6",20170112,0
"7",20170117,1
"8",20170118,1
"9",20170119,1
"10",20170124,0
"11",20170125,1
"12",20170126,1
"13",20170131,0
"14",20170201,0
"15",20170202,0
"16",20170207,0
"17",20170208,1
"18",20170209,1
"19",20170214,1
"20",20170215,1
"21",20170216,1
"22",20170221,0
"23",20170222,0
"24",20170223,0
"25",20170228,0
"26",20170301,1
"27",20170302,0
"28",20170307,0
"29",20170308,0
"30",20170309,0
"31",20170314,1
"32",20170315,0
"33",20170316,1
"34",20170321,1
"35",20170322,1
"36",20170323,1
"37",20170328,1
"38",20170329,1
"39",20170330,1
"40",20170404,1
"41",20170405,1
"42",20170406,0
"43",20170411,1
"44",20170412,1
"45",20170413,1
"46",20170418,0
"47",20170419,1
"48",20170420,1
"49",20170425,1
"50",20170426,0
"51",20170427,0
"52",20170502,1
"53",20170503,1
"54",20170504,1
"55",20170509,1
"56",20170510,0
"57",20170511,1
"58",20170516,0
"59",20170517,0
"60",20170518,1
"61",20170523,0
"62",20170524,0
"63",20170525,0
"64",20170530,1
"65",20170531,0
"66",20170601,0
"67",20170606,0
"68",20170607,0
"69",20170608,0
"70",20170613,0
"71",20170614,0
"72",20170615,1
"73",20170620,1
"74",20170621,1
"75",20170622,0
"76",20170627,0
"77",20170628,1
"78",20170629,1
"79",20170704,0
"80",20170705,0
"81",20170706,1
"82",20170711,0
"83",20170712,1
"84",20170713,1
"85",20170718,0
"86",20170719,0
"87",20170720,1
"88",20170725,0
"89",20170726,0
"90",20170727,0
"91",20170801,0
"92",20170802,0
"93",20170803,0
"94",20170808,0
"95",20170809,0
"96",20170810,0
"97",20170815,0
"98",20170816,0
"99",20170817,0
"100",20170822,0
"101",20170823,0
"102",20170824,0
"103",20170829,0
"104",20170830,0
"105",20170831,0
"106",20170905,0
"107",20170906,0
"108",20170907,0
"109",20170912,0
"110",20170913,0
"111",20170914,0
"112",20170919,1
"113",20170920,0
"114",20170921,0
"115",20170926,0
"116",20170927,0
"117",20170928,0
"118",20171003,0
"119",20171004,0
"120",20171005,0
"121",20171010,0
"122",20171011,0
"123",20171012,0
"124",20171017,0
"125",20171018,0
"126",20171019,0
"127",20171024,0
"128",20171025,0
"129",20171026,1
"130",20171031,0
"131",20171101,0
"132",20171102,1
"133",20171107,0
"134",20171108,1
"135",20171109,1
"136",20171114,0
"137",20171115,0
"138",20171116,0
"139",20171121,1
"140",20171122,1
"141",20171123,0
"142",20171128,1
"143",20171129,1
"144",20171130,0
"145",20171205,0
"146",20171206,0
"147",20171207,0
"148",20171212,0
"149",20171213,0
"150",20171214,1
"151",20171219,0
"152",20171220,0
"153",20171221,1
"154",20171226,0
"155",20171227,0
"156",20171228,0
