"","year","집계구","mean_resid_pop"
"1","2017",1102052020001,2397
"2","2017",1108068010002,231.5
"3","2017",1109071040006,731.5
"4","2017",1111066030001,2101
"5","2017",1113075030009,796
"6","2017",1115051010002,691.5
"7","2017",1117051030002,170.5
"8","2017",1119074050006,929.5
"9","2017",1121052010001,90
"10","2017",1122060020102,689.5
"11","2017",1123051010203,224.5
"12","2017",1123058040001,1277
"13","2017",1123063020012,437
"14","2017",1124077030001,2572.5
"15","2017",1124080020103,3243.5
"16","2017",1125073030007,812
"17","2018",1102052020001,1942
"18","2018",1108068010002,108
"19","2018",1109071040006,371.5
"20","2018",1111066030001,2562
"21","2018",1113075030009,2501
"22","2018",1115051010002,385
"23","2018",1117051030002,146
"24","2018",1119074050006,867
"25","2018",1121052010001,99
"26","2018",1122060020102,609
"27","2018",1123051010203,212
"28","2018",1123058040001,632
"29","2018",1123063020012,457
"30","2018",1124077030001,2077
"31","2018",1124080020103,3444
"32","2018",1125073030007,718
"33","2019",1102052020001,2065.5
"34","2019",1108068010002,891
"35","2019",1109071040006,304
"36","2019",1111066030001,1710.5
"37","2019",1113075030009,496.5
"38","2019",1115051010002,532
"39","2019",1117051030002,129
"40","2019",1119074050006,945
"41","2019",1121052010001,586
"42","2019",1122060020102,598
"43","2019",1123051010203,254
"44","2019",1123058040001,630
"45","2019",1123063020012,476
"46","2019",1124077030001,2448
"47","2019",1124080020103,1885.5
"48","2019",1125073030007,625
