"","date","mean_Temp","mean_Precipi","mean_Wind","mean_Snow","median_Temp","median_Precipi","median_Wind","median_Snow","max_Temp","max_Precipi","max_Wind","max_Snow"
"1","20170101",2.40416666666667,NA,1.60833333333333,NA,3.2,NA,1.5,NA,6.9,NA,2.6,NA
"2","20170102",5.24166666666667,0.15,2.22083333333333,NA,4.2,0.15,2.15,NA,9.2,NA,3.6,NA
"3","20170103",2.10833333333333,NA,1.90833333333333,NA,1.75,NA,1.85,NA,7.2,NA,3.7,NA
"4","20170104",4.0375,NA,1.70833333333333,NA,2.7,NA,1.15,NA,8.7,NA,3.5,NA
"5","20170105",3.6,NA,3.05833333333333,NA,4.35,NA,3.25,NA,7.2,NA,5,NA
"6","20170106",5.60416666666667,NA,2.32916666666667,NA,4.5,NA,1.95,NA,11,NA,4.2,NA
"7","20170107",4.40833333333333,NA,1.4625,NA,3.95,NA,1.4,NA,9.4,NA,2.9,NA
"8","20170108",6.57916666666667,0,2.58333333333333,NA,5.7,0,2.7,NA,10.6,NA,4.2,NA
"9","20170109",2.13333333333333,0,3.20833333333333,NA,2.6,0,3.3,NA,4,NA,4.2,NA
"10","20170110",-3.225,NA,3.11666666666667,NA,-3.8,NA,2.85,NA,0.8,NA,6.2,NA
"11","20170111",-4.27916666666667,NA,2.08333333333333,NA,-2.85,NA,2.05,NA,1,NA,4.4,NA
"12","20170112",-1.67916666666667,0,3.1375,0.1,-1.25,0,3.4,0.1,0.9,NA,5.7,NA
"13","20170113",-5.8375,0.3,2.7625,0.78,-6.65,0.3,2.4,0.8,-1.4,NA,5.9,NA
"14","20170114",-8.31666666666667,NA,3.75,NA,-8.65,NA,3.55,NA,-5.5,NA,5.5,NA
"15","20170115",-6.85833333333333,NA,2.35,NA,-6.05,NA,2.2,NA,-1.1,NA,4.1,NA
"16","20170116",-3.73333333333333,NA,1.36666666666667,NA,-3.65,NA,1.35,NA,3,NA,2.4,NA
