"","date","district","fine_dust","hyper_dust","fine_dust_grade","hyper_dust_grade","IsDustyDay","mean_temp","mean_precipi","mean_wind","mean_snow","IsRainyDay"
"1",20170101,"강남구",80,58,6,7,1,2.40416666666667,NA,1.60833333333333,NA,NA
"2",20170101,"강동구",80,54,6,7,1,2.40416666666667,NA,1.60833333333333,NA,NA
"3",20170101,"강북구",78,65,6,7,1,2.40416666666667,NA,1.60833333333333,NA,NA
"4",20170101,"관악구",75,56,5,7,1,2.40416666666667,NA,1.60833333333333,NA,NA
"5",20170101,"광진구",80,71,6,7,1,2.40416666666667,NA,1.60833333333333,NA,NA
"6",20170101,"구로구",79,54,6,7,1,2.40416666666667,NA,1.60833333333333,NA,NA
"7",20170101,"노원구",82,65,6,7,1,2.40416666666667,NA,1.60833333333333,NA,NA
"8",20170101,"서대문구",91,50,6,6,1,2.40416666666667,NA,1.60833333333333,NA,NA
"9",20170101,"송파구",64,49,5,6,1,2.40416666666667,NA,1.60833333333333,NA,NA
"10",20170101,"양천구",80,51,6,7,1,2.40416666666667,NA,1.60833333333333,NA,NA
"11",20170101,"영등포구",70,53,5,7,1,2.40416666666667,NA,1.60833333333333,NA,NA
"12",20170101,"중구",81,64,6,7,1,2.40416666666667,NA,1.60833333333333,NA,NA
"13",20170102,"강남구",118,79,7,8,1,5.24166666666667,0.15,2.22083333333333,NA,0
"14",20170102,"강동구",119,82,7,8,1,5.24166666666667,0.15,2.22083333333333,NA,0
"15",20170102,"강북구",105,87,7,8,1,5.24166666666667,0.15,2.22083333333333,NA,0
"16",20170102,"관악구",104,74,7,7,1,5.24166666666667,0.15,2.22083333333333,NA,0
"17",20170102,"광진구",111,95,7,8,1,5.24166666666667,0.15,2.22083333333333,NA,0
"18",20170102,"구로구",116,78,7,8,1,5.24166666666667,0.15,2.22083333333333,NA,0
"19",20170102,"노원구",105,82,7,8,1,5.24166666666667,0.15,2.22083333333333,NA,0
"20",20170102,"서대문구",126,64,7,7,1,5.24166666666667,0.15,2.22083333333333,NA,0
"21",20170102,"송파구",93,64,6,7,1,5.24166666666667,0.15,2.22083333333333,NA,0
"22",20170102,"양천구",107,63,7,7,1,5.24166666666667,0.15,2.22083333333333,NA,0
"23",20170102,"영등포구",107,75,7,7,1,5.24166666666667,0.15,2.22083333333333,NA,0
"24",20170102,"중구",108,82,7,8,1,5.24166666666667,0.15,2.22083333333333,NA,0
"25",20170103,"강남구",84,50,6,6,1,2.10833333333333,NA,1.90833333333333,NA,NA
"26",20170103,"강동구",97,65,6,7,1,2.10833333333333,NA,1.90833333333333,NA,NA
"27",20170103,"강북구",78,60,6,7,1,2.10833333333333,NA,1.90833333333333,NA,NA
"28",20170103,"관악구",64,42,5,6,1,2.10833333333333,NA,1.90833333333333,NA,NA
"29",20170103,"광진구",86,67,6,7,1,2.10833333333333,NA,1.90833333333333,NA,NA
"30",20170103,"구로구",75,47,5,6,1,2.10833333333333,NA,1.90833333333333,NA,NA
"31",20170103,"노원구",85,64,6,7,1,2.10833333333333,NA,1.90833333333333,NA,NA
"32",20170103,"서대문구",90,40,6,6,1,2.10833333333333,NA,1.90833333333333,NA,NA
"33",20170103,"송파구",76,47,6,6,1,2.10833333333333,NA,1.90833333333333,NA,NA
"34",20170103,"양천구",73,38,5,6,1,2.10833333333333,NA,1.90833333333333,NA,NA
"35",20170103,"영등포구",65,42,5,6,1,2.10833333333333,NA,1.90833333333333,NA,NA
"36",20170103,"중구",73,50,5,6,1,2.10833333333333,NA,1.90833333333333,NA,NA
"37",20170104,"강남구",58,34,5,5,1,4.0375,NA,1.70833333333333,NA,NA
"38",20170104,"강동구",66,40,5,6,1,4.0375,NA,1.70833333333333,NA,NA
