"","name","lon","lat","addr"
"1","신세계 강남점",127.0030692,37.5041299,"서울 서초구 신반포로 176"
"2","신세계 영등포점",126.9055629,37.5171482,"서울 영등포구 영중로 9 "
"3","현대 디큐브시티점",126.8887332,37.5084321,"서울 구로구 경인로 662"
"4","현대 천호점",127.1243716,37.5388007,"서울 강동구 천호대로 1005"
"5","현대 무역센터점",127.0597808,37.5086154,"서울 강남구 테헤란로 517"
"6","현대 압구정본점",127.0274265,37.5273268,"서울 강남구 압구정로 165"
"7","현대 신촌점",126.9357977,37.5560736,"서울 서대문구 신촌로 83"
"8","현대 목동점",126.8749782,37.5268253,"서울 양천구 목동동로 257"
"9","현대 미아점",127.0287626,37.6083223,"서울 성북구 동소문로 315"
"10","현대 유플렉스 신촌점",126.9357744,37.5592017,"서울 서대문구 연세로 13"
"11","현대 유플렉스 목동점",126.8749782,37.5268253,"서울 양천구 목동동로 257"
"12","현대 유플렉스 무역센터점",127.0585824,37.5101935,"서울 강남구 영동대로 513"
"13","롯데 잠실점",127.0980274,37.5112348,"서울 송파구 올림픽로 240"
"14","롯데 영등포점",126.9066823,37.5154709,"서울 영등포구 경인로 846"
"15","롯데 본점",126.981369,37.5649903,"서울 중구 남대문로 81"
"16","롯데 노원점",127.0611517,37.6552101,"서울 노원구 동일로 1414"
"17","롯데 강남점",127.0532731,37.4969255,"서울 강남구 도곡로 401"
"18","롯데 스타시티점",127.0710831,37.5387765,"서울 광진구 능동로 92"
"19","롯데 청량리점",127.0479007,37.5792928,"서울 동대문구 왕산로 214"
"20","롯데 관악점",126.9249911,37.4905756,"서울 관악구 봉천로 209"
"21","롯데 에비뉴엘 월드타워점",127.1026097,37.5213517,"서울 송파구 올림픽로 300"
"22","롯데 영플라자 명동점",126.9815063,37.5634661,"서울 중구 남대문로 67"
"23","롯데 미아점",127.0305098,37.6145502,"서울 강북구 도봉로 62"
"24","롯데 에비뉴엘",126.981643,37.564152,"서울 중구 남대문로 73"
"25","롯데 김포공항점",126.8025118,37.5667733,"서울 강서구 하늘길 77"
