"","신세계 강남점","신세계 강남점","신세계 영등포점","신세계 영등포점","현대 디큐브시티점","현대 디큐브시티점","현대 천호점","현대 천호점","현대 무역센터점","현대 무역센터점","현대 압구정본점","현대 압구정본점","현대 신촌점","현대 신촌점","현대 목동점","현대 목동점","현대 미아점","현대 미아점","현대 유플렉스 신촌점","현대 유플렉스 신촌점","현대 유플렉스 목동점","현대 유플렉스 목동점","현대 유플렉스 무역센터점","현대 유플렉스 무역센터점","롯데 잠실점","롯데 잠실점","롯데 영등포점","롯데 영등포점","롯데 본점","롯데 본점","롯데 노원점","롯데 노원점","롯데 강남점","롯데 강남점","롯데 스타시티점","롯데 스타시티점","롯데 청량리점","롯데 청량리점","롯데 관악점","롯데 관악점","롯데 에비뉴엘 월드타워점","롯데 에비뉴엘 월드타워점","롯데 영플라자 명동점","롯데 영플라자 명동점","롯데 미아점","롯데 미아점","롯데 에비뉴엘","롯데 에비뉴엘","롯데 김포공항점","롯데 김포공항점"
"1",1122058020104,208.389985062873,1119074050006,126.448630317456,1117051030401,0,1125066010017,120.728030659485,1107062070201,110.645411907708,1123051010208,0,1113075030007,105.936479858131,1115051010701,0,1108068020003,115.41903383725,1113075030002,71.5196675930699,1115051010701,0,1123058040002,0,1124080020101,0,1119073030001,0,1102052020001,227.232843969227,1111077030106,179.238787935694,1123063020019,82.0256843255481,1105066011101,0,1106083020002,0,1121052010002,0,1124075010104,0,1102052020001,174.945949695697,1109071040010,98.9058398777386,1102052020001,197.837391306665,1116071040005,310.454021206102
"2",1122059050001,306.420635471153,1119074050008,155.956047434479,1117051030402,0,1125073030005,164.805468145447,1123079020001,187.09352624085,1123077020113,241.696480148021,1114066070003,178.530061831814,1115051010702,0,1108068010001,163.135813181146,1113075030006,169.682021288876,1115051010702,0,1123058040003,185.03991856739,1124080050001,243.296167030482,1119074050008,186.549513919765,1102055010001,329.818720387542,1111077020001,247.619441589202,1123060010501,94.1738554569997,1105066010101,187.477672645314,1106083020101,123.229255836316,1120070051201,66.3977971103456,1124077010107,72.8287278420329,1102055040001,383.057085114124,1109071040009,109.576187256783,1102055040001,360.221923615541,1116071040009,402.206093812219
"3",1122059010001,341.80169885415,1119073030001,211.263053286356,1117051020003,139.355450074446,1125073020015,175.076055640251,1123058040002,205.085015841099,1123077040001,250.351813914145,1114066070006,233.31037832826,1115051010703,0,1108068020301,248.492648265244,1113075030004,238.348613002145,1115051010703,0,1107062070201,232.577556265282,1124080040102,316.25048748117,1119073060005,196.90874907319,1102055040001,391.952493359783,1111066030001,273.047798051044,1123065030005,141.245233691301,1105066010102,187.477672645314,1106083020102,123.229255836316,1120070050002,95.0326873172989,1124077010101,269.066828353384,1102055050101,479.862038671716,1109071040003,138.93672388347,1102055010001,423.816781950549,1116071020014,402.625796456326
"4",1122059010201,349.543627752459,1119074060001,222.390700013684,1117051030101,164.07014609334,1125073030401,194.145779388216,1123058040003,244.912328263243,1123051010201,283.948842431526,1113075030004,244.551763501118,1115051010801,171.150727298536,1108068020002,351.407635468475,1113075030007,242.989125979667,1115051010801,171.150727298536,1123059030005,275.968269180747,1124080040103,316.25048748117,1119073040003,216.726086637089,1101061040001,632.726919971955,1111066020002,277.909537912029,1123065030501,155.686516505062,1105066010103,187.477672645314,1106083020003,250.245081200887,1120070050301,109.370722104127,1124077010102,269.066828353384,1102055010001,489.296156409246,1109071040001,197.912188001994,1102055050101,549.785828960116,1116071010001,403.683637175676
"5",1122060032901,413.290276905054,1119074060002,279.508663709502,1117056010001,202.759940239574,1125066010005,206.417063054106,1123079020004,301.075160509998,1123051010202,283.948842431526,1113075030002,278.149546469938,1115051010802,171.150727298536,1108068020101,355.441734303895,1113075030010,252.388978232404,1115051010802,171.150727298536,1123058040001,353.51916464061,1124080040104,316.25048748117,1119073060004,219.353377571768,1102055050101,646.186086565652,1111077030201,331.282649756916,1123060011002,171.319033994318,1105066010104,187.477672645314,1106083050001,254.824569376984,1121069010013,120.609133913719,1124077010103,269.066828353384,1102054050201,494.756156647594,1109072040002,205.103492086266,1102054050201,572.055583270549,1116071021701,403.683637175676
"6",1122058010401,426.986501958519,1119074020001,309.247166959565,1117051020001,236.871629764954,1125073020005,209.836783251747,1123059030005,373.809754278581,1123051010204,283.948842431526,1113075040002,278.316583477388,1115051010601,177.405420955887,1108068010002,355.563814542583,1113075040002,262.131566095509,1115051010601,177.405420955887,1123079020001,389.569563786397,1124080040105,316.25048748117,1119073040001,276.409701600307,1102054010001,652.291090067819,1111077030202,331.282649756916,1123067010001,189.486749416796,1105066010301,232.346346914521,1106083050003,262.251583212173,1121052010003,166.744098755822,1124077010105,269.066828353384,1102054010001,509.473947342597,1109072050003,217.825119888503,1102054010001,580.590185937565,1116071021702,403.683637175676
"7",1122058020104,426.986501958519,1119074050006,326.368527255637,1117051030401,261.236088535082,1125066010017,238.883477352986,1107062070201,455.113907790241,1123051010208,283.948842431526,1113075030007,286.430720807353,1115051010701,202.055801190376,1108068020003,356.069126679591,1113075030002,370.76914238694,1115051010701,202.055801190376,1123058040002,438.670107210803,1124080020101,316.25048748117,1119073030001,282.054107094176,1102052020001,661.379358585565,1111077030106,356.136378486816,1123063020019,232.361169319977,1105066011101,265.435008847596,1106083020002,264.999110497761,1121052010002,167.296339487251,1124075010104,269.066828353384,1102052020001,581.985542688387,1109071040010,218.251870517625,1102052020001,643.21153419753,1116071040005,403.683637175676
"8",1122059050001,446.817234081671,1119074050008,328.779431019375,1117051030402,261.236088535082,1125073030005,247.195487575808,1123079020001,456.120828658766,1123077020113,283.948842431526,1114066070003,287.205261471045,1115051010702,213.438308357662,1108068010001,371.282713438124,1113075030006,379.550201155402,1115051010702,213.438308357662,1123058040003,439.212500856261,1124080050001,316.25048748117,1119074050008,310.636951979806,1102055010001,685.375039395948,1111077020001,356.136378486816,1123060010501,241.968178244315,1105066010101,279.621574452286,1106083020101,266.251921581284,1120070051201,185.729621777306,1124077010107,269.066828353384,1102055040001,585.044910423141,1109071040009,221.429105677229,1102055040001,659.258031784262,1116071040009,403.683637175676
"9",1122059010001,446.817234081671,1119073030001,368.918724519663,1117051020003,261.236088535082,1125073020015,276.8352851347,1123058040002,491.796268561214,1123077040001,283.948842431526,1114066070006,291.356240982933,1115051010703,267.705736275777,1108068020301,388.718147619171,1113075030004,412.177537075239,1115051010703,267.705736275777,1107062070201,455.462890692246,1124080040102,316.25048748117,1119073060005,325.694047218355,1102055040001,729.042309593675,1111066030001,356.136378486816,1123065030005,241.968178244315,1105066010102,286.292386535817,1106083020102,268.868389560427,1120070050002,201.213180019773,1124077010101,269.066828353384,1102055050101,585.044910423141,1109071040003,249.863354140768,1102055010001,660.3301637123,1116071020014,427.588540955255
"10",1122059010201,446.817234081671,1119074060001,406.031264879175,1117051030101,261.236088535082,1125073030401,282.939978981231,1123058040003,497.794371367417,1123051010201,283.948842431526,1113075030004,323.967918299399,1115051010801,277.305104722035,1108068020002,412.978562286506,1113075030007,419.0732913918,1115051010801,277.305104722035,1123059030005,489.099873489258,1124080040103,316.25048748117,1119073040003,340.807869910718,1101061040001,734.812693168777,1111066020002,359.010982530555,1123065030501,241.968178244315,1105066010103,307.971277354639,1106083020003,309.325090905243,1120070050301,205.652987449471,1124077010102,269.066828353384,1102055010001,588.991817658147,1109071040001,251.689204676297,1102055050101,660.3301637123,1116071010001,523.385556574874
"11",1122060032901,446.817234081671,1119074060002,407.268079659286,1117056010001,261.236088535082,1125066010005,309.582309850121,1123079020004,511.986285649617,1123051010202,328.424550370317,1113075030002,380.519772194011,1115051010802,277.305104722035,1108068020101,419.6432154285,1113075030010,435.471135210296,1115051010802,277.305104722035,1123058040001,513.25774073841,1124080040104,316.25048748117,1119073060004,364.060896479893,1102055050101,744.420624843884,1111077030201,359.010982530555,1123060011002,241.968178244315,1105066010104,308.642461995604,1106083050001,324.905008116975,1121069010013,220.792971623048,1124077010103,269.066828353384,1102054050201,708.977792460602,1109072040002,268.880078005893,1102054050201,692.763846179369,1116071021701,529.997575040509
"12",1122058010401,446.817234081671,1119074020001,412.627554070711,1117051020001,261.236088535082,1125073020005,314.646261887003,1123059030005,515.789102797202,1123051010204,328.424550370317,1113075040002,403.212514160535,1115051010601,312.333826766035,1108068010002,454.028926371327,1113075040002,463.579263651894,1115051010601,312.333826766035,1123079020001,531.214896415493,1124080040105,316.25048748117,1119073040001,373.141443594598,1102054010001,747.759576273199,1111077030202,359.010982530555,1123067010001,243.37392840457,1105066010301,319.066928312032,1106083050003,328.183386748753,1121052010003,247.574952150161,1124077010105,269.066828353384,1102054010001,724.941940694892,1109072050003,292.368947292714,1102054010001,745.866230957623,1116071021702,539.277341547221
"13",1122058020104,446.817234081671,1119074050006,418.930680439083,1117051030401,261.236088535082,1125066010017,318.146332626111,1107062070201,526.527566159673,1123051010208,328.424550370317,1113075030007,407.537842176428,1115051010701,367.48574658159,1108068020003,454.028926371327,1113075030002,470.03448564767,1115051010701,367.48574658159,1123058040002,536.828156112954,1124080020101,316.25048748117,1119073030001,384.129576121382,1102052020001,755.134364288279,1111077030106,359.010982530555,1123063020019,271.590200541021,1105066011101,319.066928312032,1106083020002,368.719302340482,1121052010002,250.671583213743,1124075010104,269.066828353384,1102052020001,763.631697946217,1109071040010,297.319946079417,1102052020001,760.274677549617,1116071040005,572.806301724223
"14",1122059050001,446.817234081671,1119074050008,421.404482871672,1117051030402,267.02378290828,1125073030005,319.575027044206,1123079020001,528.161304170976,1123077020113,328.424550370317,1114066070003,411.134137330721,1115051010702,369.956598930046,1108068010001,454.028926371327,1113075030006,471.515669155107,1115051010702,369.956598930046,1123058040003,545.283588608803,1124080050001,316.25048748117,1119074050008,445.647863158746,1102055010001,755.134364288279,1111077020001,359.010982530555,1123060010501,271.590200541021,1105066010101,319.066928312032,1106083020101,368.719302340482,1120070051201,253.040136475597,1124077010107,269.066828353384,1102055040001,784.487344312985,1109071040009,312.825825605208,1102055040001,768.170704582687,1116071040009,576.378339302855
