"","name","code","lon","lat"
"1","신세계.강남점",1122058020104,127.0030692,37.5041299
"2","신세계.영등포점",1119074050006,126.9055629,37.5171482
"3","현대.디큐브시티점",1117051030401,126.8887332,37.5084321
"4","현대.천호점",1125066010017,127.1243716,37.5388007
"5","현대.무역센터점",1107062070201,127.0597808,37.5086154
"6","현대.압구정본점",1123051010208,127.0274265,37.5273268
"7","현대.신촌점",1113075030007,126.9357977,37.5560736
"8","현대.목동점",1115051010701,126.8749782,37.5268253
"9","현대.미아점",1108068020003,127.0287626,37.6083223
"10","현대.유플렉스.신촌점",1113075030002,126.9357744,37.5592017
"11","현대.유플렉스.목동점",1115051010701,126.8749782,37.5268253
"12","현대.유플렉스.무역센터점",1123058040002,127.0585824,37.5101935
"13","롯데.잠실점",1124080020101,127.0980274,37.5112348
"15","롯데.본점",1102052020001,126.981369,37.5649903
"16","롯데.노원점",1111077030106,127.0611517,37.6552101
"17","롯데.강남점",1123063020019,127.0532731,37.4969255
"18","롯데.스타시티점",1105066011101,127.0710831,37.5387765
"20","롯데.관악점",1121052010002,126.9249911,37.4905756
"21","롯데.에비뉴엘.월드타워점",1124075010104,127.1026097,37.5213517
"23","롯데.미아점",1109071040010,127.0305098,37.6145502
