백화점,해당 집계구,실제 집계구,백화점과 집계구 거리,백화점 경도,백화점 위도,집계구 경도,집계구 위도,백화점 주소,집계구 주소,,,,,,,
신세계.강남점,1122058020104 ,1122060020102 ,208.3899851,127.0030692,37.5041299,127.0007548,37.5044951,서울 서초구 신반포로 176,서울특별시 서초구 반포대로 287,,,,,,,
신세계.영등포점,1119074050006 ,1119074050006 ,126.4486303,126.9055629,37.5171482,126.9041419,37.517007,서울 영등포구 영중로 9 ,서울특별시 영등포구 영중로 15,,,,,,,
현대.디큐브시티점,1117051030401 ,1117051030002 ,0,126.8887332,37.5084321,126.8887332,37.5084321,서울 구로구 경인로 662,서울특별시 구로구 경인로 662,,,,,,,
현대.천호점,1125066010017 ,1125073030007 ,120.7280307,127.1243716,37.5388007,127.1248159,37.537775,서울 강동구 천호대로 1005,서울특별시 강동구 천호대로 1016,,,,,,,38 
현대.무역센터점,1107062070201 ,1123058040001 ,110.6454119,127.0597808,37.5086154,127.0608511,37.5091322,서울 강남구 테헤란로 517,서울특별시 중랑구 중랑천로14길 34,,,,,,,
현대.압구정본점,1123051010208 ,1123051010203 ,0,127.0274265,37.5273268,127.0274265,37.5273268,서울 강남구 압구정로 165,서울특별시 강남구 압구정로 165,,,,,,,
현대.신촌점,1113075030007 ,1113075030009 ,105.9364799,126.9357977,37.5560736,126.9356755,37.5570203,서울 서대문구 신촌로 83,서울특별시 서대문구 연세로5나길 10,,,,,,,
현대.목동점,1115051010701 ,1115051010002 ,0,126.8749782,37.5268253,126.8749782,37.5268253,서울 양천구 목동동로 257,서울특별시 양천구 목동동로 257,,,,,,,
현대.미아점,1108068020003 ,1108068010002 ,115.4190338,127.0287626,37.6083223,127.0297063,37.6076039,서울 성북구 동소문로 315,서울특별시 성북구 동소문로 316,,,,,,,
현대.유플렉스.신촌점,1113075030002 ,1113075030009 ,71.51966759,126.9357744,37.5592017,126.9356343,37.5585689,서울 서대문구 연세로 13,서울특별시 서대문구 연세로9길 22,,,,,,,
현대.유플렉스.목동점,1115051010701 ,1115051010002 ,0,126.8749782,37.5268253,126.8749782,37.5268253,서울 양천구 목동동로 257,서울특별시 양천구 목동동로 257,,,,,,,
현대.유플렉스.무역센터점,1123058040002 ,1123058040001 ,0,127.0585824,37.5101935,127.0585824,37.5101935,서울 강남구 영동대로 513,서울특별시 강남구 영동대로 513,,,,,,,
롯데.잠실점,1124080020101 ,1124080020103 ,0,127.0980274,37.5112348,127.0980274,37.5112348,서울 송파구 올림픽로 240,서울특별시 송파구 올림픽로 240,,,,,,,
롯데.영등포점,1119073030001 ,1119073030001 ,0,126.9066823,37.5154709,126.9066823,37.5154709,서울 영등포구 경인로 846,서울특별시 영등포구 경인로 846,,,,,,,
롯데.본점,1102052020001 ,1102052020001 ,227.232844,126.981369,37.5649903,126.9795275,37.5635634,서울 중구 남대문로 81,서울특별시 중구 소공로 99-1,,,,,,,
롯데.노원점,1111077030106 ,1111066030001 ,179.2387879,127.0611517,37.6552101,127.0624569,37.6539753,서울 노원구 동일로 1414,서울특별시 노원구 동일로218길 29,,,,,,,
롯데.강남점,1123063020019 ,1123063020012 ,82.02568433,127.0532731,37.4969255,127.0537583,37.4975538,서울 강남구 도곡로 401,서울특별시 강남구 선릉로62길 15,,,,,,,
롯데.스타시티점,1105066011101 ,1105066010003 ,0,127.0710831,37.5387765,127.0710831,37.5387765,서울 광진구 능동로 92,서울특별시 광진구 능동로 90,,,,,,,
롯데.청량리점,1106083020002 ,1106083020002 ,0,127.0479007,37.5792928,127.0479007,37.5792928,서울 동대문구 왕산로 214,서울특별시 동대문구 왕산로 214,,,,,,,
롯데.관악점,1121052010002 ,1121052010001 ,0,126.9249911,37.4905756,126.9249911,37.4905756,서울 관악구 봉천로 209,서울특별시 관악구 봉천로 209,,,,,,,
롯데.에비뉴엘.월드타워점,1124075010104 ,1124077030001 ,0,127.1026097,37.5213517,127.1026097,37.5213517,서울 송파구 올림픽로 300,서울특별시 송파구 올림픽로37길 109,,,,,,,
롯데.영플라자.명동점,1102052020001 ,1102052020001 ,174.9459497,126.9815063,37.5634661,126.9795275,37.5635634,서울 중구 남대문로 67,서울특별시 중구 소공로 99-1,,,,,,,
롯데.미아점,1109071040010 ,1109071040006 ,98.90583988,127.0305098,37.6145502,127.0316042,37.6143556,서울 강북구 도봉로 62,서울특별시 강북구 도봉로10다길 12-4,,,,,,,
롯데.에비뉴엘,1102052020001 ,1124077030001 ,197.8373913,126.981643,37.564152,126.9795275,37.5635634,서울 중구 남대문로 73,서울특별시 중구 소공로 99-1,,,,,,,
롯데.김포공항점,1116071040005 ,1116071040005 ,310.4540212,126.8025118,37.5667733,126.8060216,37.5665782,서울 강서구 하늘길 77,서울특별시 강서구 개화동로 513,,,,,,,
