"","date","dist","m20","m25","m30","m35","m40","m45","m50","m55","f20","f25","f30","f35","f40","f45","f50","f55"
"1","20170101",1102052020001,-212,182.051666666667,28.695,40.5522222222222,58.1166666666667,89.3844444444445,-14.4216666666666,15.465,-201,-514,-525.5,-430,-349,-337,-267,314
"2","20170101",1108068010002,12.5,-148.923406862745,-564.532302405498,-176.170050761421,-622.598272884283,-289.564010528835,-189.967332123412,-225.637184115523,-595,-566,-429,-332,-286,-132.5,-542,70.5
"3","20170101",1109071040006,-94,-117.903333333333,-119.692777777778,-157.77,-116.044393939394,-68.7072222222222,-24.22,-45.8278787878788,-441,-498,-260,-240,-4.5,-51,147,-97.5
"4","20170101",1111066030001,-39.5,-99.555,-485.046363636364,-674.411666666667,-621.161818181818,-514.982575757576,-390.64,-416.565454545454,113.5,-814,-541,-498,-480,-543,-514,-464
"5","20170101",1113075030009,-635,-505.305,-765.34619047619,-300.25,-10.9478571428572,38.37,12.7366666666667,80.5514285714285,-631,-921.5,-357.5,-201.5,109.5,91.5,113,176
"6","20170101",1115051010002,-51,-168.206708595388,-266.590384615385,-291.589256198347,-494.745445829338,-305.539023372287,-351.411722912966,-208.486070686071,-137,-383,-180,-226,-363.5,-340.5,-128.5,-96.5
"7","20170101",1117051030002,-225,-438.920868113522,-294.856666666667,-141.771666666667,-548.891191709845,-392.321891418564,-289.54126984127,-221.427250608273,-439,-685,192,250,-375,-280,-286,-354
"8","20170101",1119074050006,65,-184.915,-266.916666666667,-377.907222222222,-423.996111111111,-303.012777777778,-150.018333333333,-280.633333333333,-95,-163,65,98,133,65.5,215,62.5
"9","20170101",1121052010001,204.5,-292.508333333333,-393.741308793456,-340.324776785714,-245.929208472687,-513.392561983471,-311.046428571429,-295.652103559871,-24,-460,-77.5,-367,74,86.5,-175,-251
"10","20170101",1122060020102,114,91.3883333333333,-137.675,-321.61,-301.865,-234.357777777778,18.6866666666667,49.445,154,-131.5,69.5,-157,28,51,211,98.5
"11","20170101",1123051010203,-140,-117.238508682329,-378.641166380789,-128.514866712235,-194.720240137221,-6.73097643097645,-157.248717948718,-135.21217924167,267,-756,-516,-126,201,75,-175,-170
"12","20170101",1123058040001,-216.5,-492.473571428571,-613.771428571429,-665.873888888889,-569.457222222222,-477.178333333333,-113.735,-16.755,-212,-631,-562.5,-304,-229,-184,-79,-12.5
