"","date","IsDustyDay"
"1",20170101,1
"2",20170102,1
"3",20170103,1
"4",20170104,1
"5",20170105,0
"6",20170106,0
"7",20170107,1
"8",20170108,0
"9",20170109,1
"10",20170110,0
"11",20170111,0
"12",20170112,0
"13",20170113,0
"14",20170114,0
"15",20170115,0
"16",20170116,0
"17",20170117,1
"18",20170118,1
"19",20170119,1
"20",20170120,1
"21",20170121,1
"22",20170122,1
"23",20170123,0
"24",20170124,0
"25",20170125,1
"26",20170126,1
"27",20170127,1
"28",20170128,0
"29",20170129,0
"30",20170130,0
"31",20170131,0
"32",20170201,0
"33",20170202,0
"34",20170203,1
"35",20170204,1
"36",20170205,1
"37",20170206,0
"38",20170207,0
"39",20170208,1
"40",20170209,1
"41",20170210,0
"42",20170211,0
"43",20170212,0
"44",20170213,0
"45",20170214,1
"46",20170215,1
"47",20170216,1
"48",20170217,0
"49",20170218,0
"50",20170219,0
"51",20170220,0
"52",20170221,0
"53",20170222,0
"54",20170223,0
"55",20170224,0
"56",20170225,0
"57",20170226,0
"58",20170227,0
"59",20170228,0
"60",20170301,1
"61",20170302,0
"62",20170303,0
"63",20170304,1
"64",20170305,1
"65",20170306,0
"66",20170307,0
"67",20170308,0
"68",20170309,0
"69",20170310,0
"70",20170311,1
"71",20170312,1
"72",20170313,1
"73",20170314,1
"74",20170315,0
"75",20170316,1
"76",20170317,1
"77",20170318,1
"78",20170319,1
"79",20170320,1
"80",20170321,1
"81",20170322,1
"82",20170323,1
"83",20170324,1
"84",20170325,1
"85",20170326,1
"86",20170327,1
"87",20170328,1
"88",20170329,1
"89",20170330,1
"90",20170331,1
"91",20170401,0
"92",20170402,0
"93",20170403,1
"94",20170404,1
"95",20170405,1
"96",20170406,0
"97",20170407,0
"98",20170408,1
"99",20170409,0
"100",20170410,0
"101",20170411,1
"102",20170412,1
"103",20170413,1
"104",20170414,1
"105",20170415,1
"106",20170416,1
"107",20170417,0
"108",20170418,0
"109",20170419,1
"110",20170420,1
"111",20170421,1
"112",20170422,1
"113",20170423,1
"114",20170424,0
"115",20170425,1
"116",20170426,0
"117",20170427,0
"118",20170428,1
"119",20170429,1
"120",20170430,1
"121",20170501,1
"122",20170502,1
"123",20170503,1
"124",20170504,1
"125",20170505,1
"126",20170506,1
"127",20170507,1
"128",20170508,1
"129",20170509,1
"130",20170510,0
"131",20170511,1
"132",20170512,1
"133",20170513,1
"134",20170514,1
"135",20170515,0
"136",20170516,0
"137",20170517,0
"138",20170518,1
"139",20170519,0
"140",20170520,0
"141",20170521,0
"142",20170522,0
"143",20170523,0
"144",20170524,0
"145",20170525,0
"146",20170526,0
"147",20170527,0
"148",20170528,0
"149",20170529,1
"150",20170530,1
"151",20170531,0
"152",20170601,0
"153",20170602,0
"154",20170603,0
"155",20170604,0
"156",20170605,0
"157",20170606,0
"158",20170607,0
"159",20170608,0
"160",20170609,1
"161",20170610,1
"162",20170611,0
"163",20170612,0
"164",20170613,0
"165",20170614,0
"166",20170615,1
"167",20170616,1
"168",20170617,1
"169",20170618,0
"170",20170619,1
"171",20170620,1
"172",20170621,1
"173",20170622,0
"174",20170623,0
"175",20170624,0
"176",20170625,0
"177",20170626,0
"178",20170627,0
"179",20170628,1
"180",20170629,1
"181",20170630,1
"182",20170701,0
"183",20170702,0
"184",20170703,0
"185",20170704,0
"186",20170705,0
"187",20170706,1
"188",20170707,0
"189",20170708,0
"190",20170709,0
"191",20170710,0
"192",20170711,0
"193",20170712,1
"194",20170713,1
"195",20170714,1
"196",20170715,0
"197",20170716,0
"198",20170717,0
"199",20170718,0
"200",20170719,0
"201",20170720,1
"202",20170721,1
"203",20170722,1
"204",20170723,1
"205",20170724,0
"206",20170725,0
