"","date","fine_dust_grade","hyper_dust_grade"
"1",20170101,6,5
"2",20170102,7,6
"3",20170103,6,5
"4",20170104,5,3
"5",20170105,3,2
"6",20170106,2,1
"7",20170107,5,3
"8",20170108,3,2
"9",20170109,5,4
"10",20170110,3,2
"11",20170111,2,1
"12",20170112,3,2
"13",20170113,3,1
"14",20170114,4,1
"15",20170115,2,1
"16",20170116,4,2
"17",20170117,5,4
"18",20170118,6,5
"19",20170119,7,5
"20",20170120,5,3
"21",20170121,5,3
"22",20170122,6,2
"23",20170123,4,3
"24",20170124,4,2
"25",20170125,5,3
"26",20170126,5,4
"27",20170127,7,2
"28",20170128,3,1
"29",20170129,2,2
"30",20170130,4,3
"31",20170131,2,2
"32",20170201,3,2
"33",20170202,3,2
"34",20170203,5,4
"35",20170204,6,5
"36",20170205,5,5
"37",20170206,4,2
"38",20170207,4,2
"39",20170208,5,3
"40",20170209,5,2
"41",20170210,3,2
"42",20170211,2,2
"43",20170212,3,2
"44",20170213,4,2
"45",20170214,5,3
"46",20170215,5,4
"47",20170216,5,4
"48",20170217,4,2
"49",20170218,3,2
"50",20170219,4,2
"51",20170220,4,2
"52",20170221,4,2
"53",20170222,4,2
"54",20170223,3,2
"55",20170224,2,2
"56",20170225,4,3
"57",20170226,4,3
"58",20170227,4,2
"59",20170228,4,2
"60",20170301,5,4
"61",20170302,3,2
"62",20170303,4,2
"63",20170304,5,3
"64",20170305,5,5
"65",20170306,3,2
"66",20170307,3,2
"67",20170308,4,2
"68",20170309,4,2
"69",20170310,4,2
"70",20170311,5,4
"71",20170312,6,5
"72",20170313,5,4
"73",20170314,5,2
"74",20170315,4,2
"75",20170316,5,4
"76",20170317,6,5
"77",20170318,5,5
"78",20170319,6,5
"79",20170320,6,5
"80",20170321,7,5
"81",20170322,5,3
"82",20170323,6,4
"83",20170324,5,3
"84",20170325,5,4
"85",20170326,5,4
"86",20170327,6,5
"87",20170328,6,5
"88",20170329,5,3
"89",20170330,5,4
"90",20170331,5,3
"91",20170401,2,2
"92",20170402,4,3
"93",20170403,6,5
"94",20170404,6,4
"95",20170405,5,3
"96",20170406,2,2
"97",20170407,4,2
"98",20170408,5,4
"99",20170409,4,2
"100",20170410,2,2
"101",20170411,5,2
"102",20170412,5,1
"103",20170413,5,2
"104",20170414,5,2
"105",20170415,5,3
"106",20170416,5,3
"107",20170417,4,2
"108",20170418,4,2
"109",20170419,6,2
"110",20170420,6,2
"111",20170421,5,2
"112",20170422,5,2
"113",20170423,5,2
"114",20170424,4,2
"115",20170425,5,2
"116",20170426,4,2
"117",20170427,4,1
"118",20170428,5,2
"119",20170429,5,2
"120",20170430,6,5
"121",20170501,6,4
"122",20170502,7,4
"123",20170503,5,3
