"","date","IsDustyDay"
"1",20191205,0
"2",20191204,0
"3",20191203,0
"4",20191202,0
"5",20191201,0
"6",20191130,0
"7",20191129,0
"8",20191128,0
"9",20191127,0
"10",20191126,0
"11",20191125,0
"12",20191124,0
"13",20191123,0
"14",20191122,0
"15",20191121,0
"16",20191120,0
"17",20191119,0
"18",20191118,1
"19",20191117,0
"20",20191116,0
"21",20191115,0
"22",20191114,0
"23",20191113,0
"24",20191112,0
"25",20191111,0
"26",20191110,0
"27",20191109,0
"28",20191108,0
"29",20191107,0
"30",20191106,0
"31",20191105,0
"32",20191104,0
"33",20191103,1
"34",20191102,1
"35",20191101,1
"36",20191031,1
"37",20191030,0
"38",20191029,1
"39",20191028,0
"40",20191027,0
"41",20191026,0
"42",20191025,0
"43",20191024,0
"44",20191023,0
"45",20191022,0
"46",20191021,0
"47",20191020,0
"48",20191019,0
"49",20191018,0
"50",20191017,0
"51",20191016,0
"52",20191015,0
"53",20191014,0
"54",20191013,0
"55",20191012,0
"56",20191011,0
"57",20191010,0
"58",20191009,0
"59",20191008,0
"60",20191007,0
"61",20191006,0
"62",20191005,0
"63",20191004,0
"64",20191003,0
"65",20191002,0
"66",20191001,0
"67",20190930,1
"68",20190929,0
"69",20190928,0
"70",20190927,0
"71",20190926,0
"72",20190925,0
"73",20190924,0
"74",20190923,0
"75",20190922,0
"76",20190921,0
"77",20190920,0
"78",20190919,0
"79",20190918,0
"80",20190917,0
"81",20190916,0
"82",20190915,0
"83",20190914,0
"84",20190913,0
"85",20190912,0
"86",20190911,0
"87",20190910,0
"88",20190909,0
"89",20190906,0
"90",20190905,0
"91",20190904,0
"92",20190903,0
"93",20190902,0
"94",20190901,0
"95",20190831,0
"96",20190830,0
"97",20190829,0
"98",20190828,0
"99",20190827,0
"100",20190826,0
"101",20190825,0
"102",20190824,0
"103",20190823,0
"104",20190822,0
"105",20190821,0
"106",20190820,0
"107",20190819,0
"108",20190818,0
"109",20190817,0
"110",20190816,0
"111",20190815,0
"112",20190814,0
"113",20190813,0
"114",20190812,0
"115",20190811,0
"116",20190810,0
"117",20190809,0
"118",20190808,0
"119",20190807,0
"120",20190806,0
"121",20190805,0
"122",20190804,0
"123",20190803,0
"124",20190802,0
"125",20190801,0
"126",20190731,0
"127",20190730,0
"128",20190729,0
"129",20190728,0
"130",20190727,0
"131",20190726,0
"132",20190725,0
"133",20190724,0
"134",20190723,0
"135",20190722,0
"136",20190721,0
"137",20190720,0
"138",20190719,0
"139",20190718,1
"140",20190717,1
"141",20190716,0
"142",20190715,0
"143",20190714,0
"144",20190713,0
"145",20190712,0
"146",20190711,0
"147",20190710,0
"148",20190709,0
"149",20190708,0
"150",20190707,0
"151",20190706,0
"152",20190705,0
"153",20190704,0
"154",20190703,0
"155",20190702,0
"156",20190701,0
"157",20190630,0
"158",20190629,0
"159",20190628,0
"160",20190627,0
"161",20190626,0
"162",20190625,0
"163",20190624,0
"164",20190623,0
"165",20190622,0
"166",20190621,0
"167",20190620,0
"168",20190619,0
"169",20190618,0
"170",20190617,0
