"","date","mean_Temp","mean_Precipi","mean_Wind","mean_Snow","median_Temp","median_Precipi","median_Wind","median_Snow","max_Temp","max_Precipi","max_Wind","max_Snow","dust_avg","fine_avg","dust_grade","fine_grade","IsDustyDay"
"1",20190101,-4.77083333333333,NA,2.14583333333333,NA,-5.15,NA,2.2,NA,-0.9,NA,3.5,NA,38,25,3,4,0
"2",20190102,-4.93333333333333,NA,1.6375,NA,-4.5,NA,1.55,NA,0,NA,3.2,NA,33,21,3,4,0
"3",20190103,-3.48333333333333,NA,1.35416666666667,NA,-3.6,NA,1.3,NA,3.2,NA,2.4,NA,38.5,22,3,4,0
"4",20190104,-1.48333333333333,NA,1.175,NA,-0.95,NA,1.1,NA,3.9,NA,2.7,NA,57.5,39,5,6,1
"5",20190105,-2.35,NA,2.24583333333333,NA,-2.4,NA,2,NA,0.6,NA,3.7,NA,64,41,5,6,1
"6",20190106,-2.85833333333333,NA,1.21666666666667,NA,-3.75,NA,1.25,NA,2.5,NA,2.8,NA,51,22,5,4,1
"7",20190107,-1.97916666666667,NA,1.40416666666667,NA,-1.65,NA,1.15,NA,2.7,NA,3.6,NA,55,35,5,5,1
"8",20190108,-3.2,NA,2.525,NA,-3,NA,2.05,NA,0.3,NA,6.5,NA,41,19,4,3,0
"9",20190109,-4.9125,NA,1.35,NA,-4.3,NA,1.4,NA,0.8,NA,2.5,NA,50.5,21,4,4,0
"10",20190110,-1.07916666666667,NA,1.475,NA,-0.25,NA,1.5,NA,2.7,NA,3,NA,57.5,32.5,5,5,1
"11",20190111,2.40833333333333,NA,0.9625,NA,1.6,NA,0.9,NA,6.8,NA,2.2,NA,74,54,5,7,1
"12",20190112,2.93333333333333,NA,1.22083333333333,NA,1.5,NA,1,NA,7.8,NA,2.9,NA,94,70,6,7,1
"13",20190113,1.32916666666667,NA,1.30416666666667,NA,0.6,NA,1.35,NA,7.2,NA,3,NA,109,79.5,7,8,1
"14",20190114,1.1875,NA,0.85,NA,1.75,NA,0.75,NA,5.2,NA,1.8,NA,159,124.5,8,8,1
"15",20190115,-0.95,0,2.69166666666667,NA,-0.35,0,2.6,NA,2.6,NA,4.3,NA,138,90.5,7,8,1
"16",20190116,-5.5875,0,2.2875,NA,-4.95,0,2.35,NA,-1.7,NA,4,NA,47,17,4,3,0
"17",20190117,-0.333333333333333,0,1.84166666666667,NA,-1.1,0,1.45,NA,4,NA,4.5,NA,44.5,22,4,4,0
"18",20190118,0.3375,NA,1.325,NA,1.15,NA,1.05,NA,6.5,NA,3.1,NA,55.5,35,5,5,1
"19",20190119,3.33333333333333,NA,1.22916666666667,NA,3.75,NA,1.1,NA,8.1,NA,2.9,NA,94,66,6,7,1
"20",20190120,-0.541666666666667,NA,3.18333333333333,NA,-0.5,NA,3.15,NA,3.9,NA,5.3,NA,67.5,35,5,5,1
"21",20190121,-1.67916666666667,0,1.625,NA,-0.6,0,1.55,NA,3.9,NA,4.2,NA,43,21,4,4,0
