,date,mean_visit_pop,year,mean_resid_pop,cleaned_pop,
1,20170101,1.10205E+12,2906,2017,2397,509
2,20170101,1.10807E+12,564.1818182,2017,231.5,332.6818182
3,20170101,1.10907E+12,361.5454545,2017,731.5,-369.9545455
4,20170101,1.11107E+12,749.9090909,2017,2101,-1351.090909
5,20170101,1.11308E+12,527.7272727,2017,796,-268.2727273
6,20170101,1.11505E+12,681.5454545,2017,691.5,-9.954545455
7,20170101,1.11705E+12,398.2727273,2017,170.5,227.7727273
8,20170101,1.11907E+12,562.7272727,2017,929.5,-366.7727273
9,20170101,1.12105E+12,303.8181818,2017,90,213.8181818
10,20170101,1.12206E+12,567.9090909,2017,689.5,-121.5909091
11,20170101,1.12305E+12,771.3636364,2017,224.5,546.8636364
12,20170101,1.12306E+12,220.9090909,2017,1277,-1056.090909
13,20170101,1.12306E+12,1262.818182,2017,437,825.8181818
14,20170101,1.12408E+12,648.4545455,2017,2572.5,-1924.045455
15,20170101,1.12408E+12,1588.545455,2017,3243.5,-1654.954545
16,20170101,1.12507E+12,488.5454545,2017,812,-323.4545455
17,20170107,1.10205E+12,19923.90909,2017,2397,17526.90909
18,20170107,1.10807E+12,2061.090909,2017,231.5,1829.590909
19,20170107,1.10907E+12,1101.272727,2017,731.5,369.7727273
20,20170107,1.11107E+12,12578.72727,2017,2101,10477.72727
21,20170107,1.11308E+12,275.7272727,2017,796,-520.2727273
22,20170107,1.11505E+12,34.72727273,2017,691.5,-656.7727273
23,20170107,1.11705E+12,1948.090909,2017,170.5,1777.590909
24,20170107,1.11907E+12,6889.272727,2017,929.5,5959.772727
25,20170107,1.12105E+12,472.0909091,2017,90,382.0909091
26,20170107,1.12206E+12,579.7272727,2017,689.5,-109.7727273
27,20170107,1.12305E+12,307.5454545,2017,224.5,83.04545455
28,20170107,1.12306E+12,1411.909091,2017,1277,134.9090909
29,20170107,1.12306E+12,212.5454545,2017,437,-224.4545455
30,20170107,1.12408E+12,31183.09091,2017,2572.5,28610.59091
31,20170107,1.12408E+12,27774.27273,2017,3243.5,24530.77273
32,20170107,1.12507E+12,350.8181818,2017,812,-461.1818182
33,20170108,1.10205E+12,13048.18182,2017,2397,10651.18182
34,20170108,1.10807E+12,2297.181818,2017,231.5,2065.681818
35,20170108,1.10907E+12,1204.363636,2017,731.5,472.8636364
36,20170108,1.11107E+12,11386.72727,2017,2101,9285.727273
37,20170108,1.11308E+12,292.8181818,2017,796,-503.1818182
38,20170108,1.11505E+12,23.81818182,2017,691.5,-667.6818182
39,20170108,1.11705E+12,2102.454545,2017,170.5,1931.954545
40,20170108,1.11907E+12,5859.181818,2017,929.5,4929.681818
41,20170108,1.12105E+12,400.3636364,2017,90,310.3636364
42,20170108,1.12206E+12,600.5454545,2017,689.5,-88.95454545
43,20170108,1.12305E+12,239.1818182,2017,224.5,14.68181818
44,20170108,1.12306E+12,1203.181818,2017,1277,-73.81818182
45,20170108,1.12306E+12,202.5454545,2017,437,-234.4545455
46,20170108,1.12408E+12,25359.63636,2017,2572.5,22787.13636
47,20170108,1.12408E+12,20797.63636,2017,3243.5,17554.13636
48,20170108,1.12507E+12,374.8181818,2017,812,-437.1818182
49,20170114,1.10205E+12,18857.45455,2017,2397,16460.45455
50,20170114,1.10807E+12,2097.090909,2017,231.5,1865.590909
51,20170114,1.10907E+12,1066.909091,2017,731.5,335.4090909
52,20170114,1.11107E+12,12056.27273,2017,2101,9955.272727
53,20170114,1.11308E+12,288,2017,796,-508
54,20170114,1.11505E+12,33.09090909,2017,691.5,-658.4090909
55,20170114,1.11705E+12,2160.909091,2017,170.5,1990.409091
56,20170114,1.11907E+12,6598.272727,2017,929.5,5668.772727
57,20170114,1.12105E+12,450.0909091,2017,90,360.0909091
58,20170114,1.12206E+12,594.2727273,2017,689.5,-95.22727273
59,20170114,1.12305E+12,280.3636364,2017,224.5,55.86363636
60,20170114,1.12306E+12,1313.727273,2017,1277,36.72727273
61,20170114,1.12306E+12,232.1818182,2017,437,-204.8181818
62,20170114,1.12408E+12,33287,2017,2572.5,30714.5
63,20170114,1.12408E+12,29114,2017,3243.5,25870.5
64,20170114,1.12507E+12,356.5454545,2017,812,-455.4545455
65,20170115,1.10205E+12,13565.27273,2017,2397,11168.27273
66,20170115,1.10807E+12,2340.909091,2017,231.5,2109.409091
67,20170115,1.10907E+12,1166.818182,2017,731.5,435.3181818
68,20170115,1.11107E+12,11068.90909,2017,2101,8967.909091
69,20170115,1.11308E+12,300.6363636,2017,796,-495.3636364
70,20170115,1.11505E+12,23.36363636,2017,691.5,-668.1363636
71,20170115,1.11705E+12,1889.272727,2017,170.5,1718.772727
72,20170115,1.11907E+12,5659.272727,2017,929.5,4729.772727
73,20170115,1.12105E+12,410.9090909,2017,90,320.9090909
74,20170115,1.12206E+12,656.5454545,2017,689.5,-32.95454545
75,20170115,1.12305E+12,214.0909091,2017,224.5,-10.40909091
76,20170115,1.12306E+12,1296.909091,2017,1277,19.90909091
77,20170115,1.12306E+12,195.8181818,2017,437,-241.1818182
78,20170115,1.12408E+12,27682.54545,2017,2572.5,25110.04545
79,20170115,1.12408E+12,22899.90909,2017,3243.5,19656.40909
80,20170115,1.12507E+12,374.0909091,2017,812,-437.9090909
81,20170121,1.10205E+12,21527.45455,2017,2397,19130.45455
82,20170121,1.10807E+12,2099.636364,2017,231.5,1868.136364
83,20170121,1.10907E+12,1078.181818,2017,731.5,346.6818182
84,20170121,1.11107E+12,11707.90909,2017,2101,9606.909091
85,20170121,1.11308E+12,288.2727273,2017,796,-507.7272727
86,20170121,1.11505E+12,32,2017,691.5,-659.5
87,20170121,1.11705E+12,2186,2017,170.5,2015.5
88,20170121,1.11907E+12,6582.545455,2017,929.5,5653.045455
89,20170121,1.12105E+12,439.5454545,2017,90,349.5454545
90,20170121,1.12206E+12,575.9090909,2017,689.5,-113.5909091
91,20170121,1.12305E+12,301.1818182,2017,224.5,76.68181818
92,20170121,1.12306E+12,1314.090909,2017,1277,37.09090909
93,20170121,1.12306E+12,213.2727273,2017,437,-223.7272727
94,20170121,1.12408E+12,34380.90909,2017,2572.5,31808.40909
95,20170121,1.12408E+12,28208.18182,2017,3243.5,24964.68182
96,20170121,1.12507E+12,357.6363636,2017,812,-454.3636364
97,20170122,1.10205E+12,13491.18182,2017,2397,11094.18182
98,20170122,1.10807E+12,2306.636364,2017,231.5,2075.136364
99,20170122,1.10907E+12,1219.181818,2017,731.5,487.6818182
100,20170122,1.11107E+12,10945.36364,2017,2101,8844.363636
101,20170122,1.11308E+12,292.0909091,2017,796,-503.9090909
102,20170122,1.11505E+12,22.54545455,2017,691.5,-668.9545455
103,20170122,1.11705E+12,1988,2017,170.5,1817.5
104,20170122,1.11907E+12,5934.454545,2017,929.5,5004.954545
105,20170122,1.12105E+12,406,2017,90,316
106,20170122,1.12206E+12,587.6363636,2017,689.5,-101.8636364
107,20170122,1.12305E+12,222.1818182,2017,224.5,-2.318181818
108,20170122,1.12306E+12,1304.545455,2017,1277,27.54545455
109,20170122,1.12306E+12,188.9090909,2017,437,-248.0909091
110,20170122,1.12408E+12,28731,2017,2572.5,26158.5
111,20170122,1.12408E+12,21889.63636,2017,3243.5,18646.13636
112,20170122,1.12507E+12,384.3636364,2017,812,-427.6363636
113,20170128,1.10205E+12,5248.363636,2017,2397,2851.363636
114,20170128,1.10807E+12,1983.454545,2017,231.5,1751.954545
115,20170128,1.10907E+12,1102.181818,2017,731.5,370.6818182
116,20170128,1.11107E+12,5716.454545,2017,2101,3615.454545
117,20170128,1.11308E+12,204.4545455,2017,796,-591.5454545
118,20170128,1.11505E+12,12.54545455,2017,691.5,-678.9545455
119,20170128,1.11705E+12,1638.090909,2017,170.5,1467.590909
120,20170128,1.11907E+12,2343.727273,2017,929.5,1414.227273
121,20170128,1.12105E+12,76,2017,90,-14
122,20170128,1.12206E+12,332.5454545,2017,689.5,-356.9545455
123,20170128,1.12305E+12,85.72727273,2017,224.5,-138.7727273
124,20170128,1.12306E+12,732.6363636,2017,1277,-544.3636364
125,20170128,1.12306E+12,120.5454545,2017,437,-316.4545455
126,20170128,1.12408E+12,18871.36364,2017,2572.5,16298.86364
127,20170128,1.12408E+12,13909.54545,2017,3243.5,10666.04545
128,20170128,1.12507E+12,348.1818182,2017,812,-463.8181818
129,20170129,1.10205E+12,10322,2017,2397,7925
130,20170129,1.10807E+12,2132.545455,2017,231.5,1901.045455
131,20170129,1.10907E+12,1200.454545,2017,731.5,468.9545455
132,20170129,1.11107E+12,9909.363636,2017,2101,7808.363636
133,20170129,1.11308E+12,224.2727273,2017,796,-571.7272727
134,20170129,1.11505E+12,16.45454545,2017,691.5,-675.0454545
135,20170129,1.11705E+12,1690.545455,2017,170.5,1520.045455
136,20170129,1.11907E+12,4989.636364,2017,929.5,4060.136364
137,20170129,1.12105E+12,307.5454545,2017,90,217.5454545
138,20170129,1.12206E+12,495,2017,689.5,-194.5
139,20170129,1.12305E+12,144.3636364,2017,224.5,-80.13636364
140,20170129,1.12306E+12,879.8181818,2017,1277,-397.1818182
141,20170129,1.12306E+12,132.1818182,2017,437,-304.8181818
142,20170129,1.12408E+12,25502.54545,2017,2572.5,22930.04545
143,20170129,1.12408E+12,17627.54545,2017,3243.5,14384.04545
144,20170129,1.12507E+12,351.7272727,2017,812,-460.2727273
145,20170204,1.10205E+12,21857.45455,2017,2397,19460.45455
146,20170204,1.10807E+12,2066.363636,2017,231.5,1834.863636
147,20170204,1.10907E+12,1043.818182,2017,731.5,312.3181818
148,20170204,1.11107E+12,12194,2017,2101,10093
149,20170204,1.11308E+12,287.9090909,2017,796,-508.0909091
150,20170204,1.11505E+12,36,2017,691.5,-655.5
151,20170204,1.11705E+12,2123,2017,170.5,1952.5
152,20170204,1.11907E+12,6514.818182,2017,929.5,5585.318182
153,20170204,1.12105E+12,448.9090909,2017,90,358.9090909
154,20170204,1.12206E+12,566.6363636,2017,689.5,-122.8636364
155,20170204,1.12305E+12,303.6363636,2017,224.5,79.13636364
156,20170204,1.12306E+12,1443.181818,2017,1277,166.1818182
157,20170204,1.12306E+12,213.8181818,2017,437,-223.1818182
158,20170204,1.12408E+12,33950.63636,2017,2572.5,31378.13636
159,20170204,1.12408E+12,24889.45455,2017,3243.5,21645.95455
160,20170204,1.12507E+12,352.5454545,2017,812,-459.4545455
161,20170205,1.10205E+12,12675.27273,2017,2397,10278.27273
162,20170205,1.10807E+12,2241.727273,2017,231.5,2010.227273
163,20170205,1.10907E+12,1178,2017,731.5,446.5
164,20170205,1.11107E+12,10913.27273,2017,2101,8812.272727
165,20170205,1.11308E+12,301.4545455,2017,796,-494.5454545
166,20170205,1.11505E+12,24.27272727,2017,691.5,-667.2272727
167,20170205,1.11705E+12,2101.636364,2017,170.5,1931.136364
168,20170205,1.11907E+12,5428.272727,2017,929.5,4498.772727
169,20170205,1.12105E+12,367.1818182,2017,90,277.1818182
170,20170205,1.12206E+12,686.8181818,2017,689.5,-2.681818182
171,20170205,1.12305E+12,222.4545455,2017,224.5,-2.045454545
172,20170205,1.12306E+12,1315,2017,1277,38
173,20170205,1.12306E+12,190.3636364,2017,437,-246.6363636
174,20170205,1.12408E+12,25937.36364,2017,2572.5,23364.86364
175,20170205,1.12408E+12,18817.81818,2017,3243.5,15574.31818
176,20170205,1.12507E+12,368.4545455,2017,812,-443.5454545
177,20170211,1.10205E+12,23122.27273,2017,2397,20725.27273
178,20170211,1.10807E+12,2156.636364,2017,231.5,1925.136364
179,20170211,1.10907E+12,1061.909091,2017,731.5,330.4090909
180,20170211,1.11107E+12,11772.54545,2017,2101,9671.545455
181,20170211,1.11308E+12,278.6363636,2017,796,-517.3636364
182,20170211,1.11505E+12,34.81818182,2017,691.5,-656.6818182
183,20170211,1.11705E+12,2355,2017,170.5,2184.5
184,20170211,1.11907E+12,6948.727273,2017,929.5,6019.227273
185,20170211,1.12105E+12,442.2727273,2017,90,352.2727273
186,20170211,1.12206E+12,580.2727273,2017,689.5,-109.2272727
187,20170211,1.12305E+12,278.9090909,2017,224.5,54.40909091
188,20170211,1.12306E+12,1283.454545,2017,1277,6.454545455
189,20170211,1.12306E+12,220.4545455,2017,437,-216.5454545
190,20170211,1.12408E+12,33305.09091,2017,2572.5,30732.59091
191,20170211,1.12408E+12,28005.63636,2017,3243.5,24762.13636
192,20170211,1.12507E+12,337.4545455,2017,812,-474.5454545
193,20170212,1.10205E+12,14185.18182,2017,2397,11788.18182
194,20170212,1.10807E+12,2313.181818,2017,231.5,2081.681818
195,20170212,1.10907E+12,1202.272727,2017,731.5,470.7727273
196,20170212,1.11107E+12,11395.36364,2017,2101,9294.363636
197,20170212,1.11308E+12,298.5454545,2017,796,-497.4545455
198,20170212,1.11505E+12,23.90909091,2017,691.5,-667.5909091
199,20170212,1.11705E+12,2107.454545,2017,170.5,1936.954545
200,20170212,1.11907E+12,6150.454545,2017,929.5,5220.954545
201,20170212,1.12105E+12,424.5454545,2017,90,334.5454545
202,20170212,1.12206E+12,667.1818182,2017,689.5,-22.31818182
203,20170212,1.12305E+12,215.0909091,2017,224.5,-9.409090909
204,20170212,1.12306E+12,1229.090909,2017,1277,-47.90909091
205,20170212,1.12306E+12,200.5454545,2017,437,-236.4545455
206,20170212,1.12408E+12,26964,2017,2572.5,24391.5
207,20170212,1.12408E+12,21511.45455,2017,3243.5,18267.95455
208,20170212,1.12507E+12,362.3636364,2017,812,-449.6363636
209,20170218,1.10205E+12,23635.63636,2017,2397,21238.63636
210,20170218,1.10807E+12,2086,2017,231.5,1854.5
211,20170218,1.10907E+12,1022.454545,2017,731.5,290.9545455
212,20170218,1.11107E+12,11840,2017,2101,9739
213,20170218,1.11308E+12,290.0909091,2017,796,-505.9090909
