"","V1","V2","V3"
"1","신세계","강남점","208.389985062873"
"2","신세계","영등포점","126.448630317456"
"3","현대","디큐브시티점","0"
"4","현대","천호점","120.728030659485"
"5","현대","무역센터점","110.645411907708"
"6","현대","압구정본점","0"
"7","현대","신촌점","105.936479858131"
"8","현대","목동점","0"
"9","현대","미아점","115.41903383725"
"10","현대","유플렉스 신촌점","71.5196675930699"
"11","현대","유플렉스 목동점","0"
"12","현대","유플렉스 무역센터점","0"
"13","롯데","잠실점","0"
"14","롯데","영등포점","0"
"15","롯데","본점","227.232843969227"
"16","롯데","노원점","179.238787935694"
"17","롯데","강남점","82.0256843255481"
"18","롯데","스타시티점","0"
"19","롯데","청량리점","0"
"20","롯데","관악점","0"
"21","롯데","에비뉴엘 월드타워점","0"
"22","롯데","영플라자 명동점","174.945949695697"
"23","롯데","미아점","98.9058398777386"
"24","롯데","에비뉴엘","197.837391306665"
"25","롯데","김포공항점","310.454021206102"
