"","date","mean_temp","mean_precipi","mean_wind","mean_snow","IsRainyDay","fine_dust","hyper_dust","fine_dust_grade","hyper_dust_grade","IsDustyDay"
"1",20170101,2.40416666666667,NA,1.60833333333333,NA,NA,80,58,6,7,1
"2",20170102,5.24166666666667,0.15,2.22083333333333,NA,0,111,79.5,7,8,1
"3",20170103,2.10833333333333,NA,1.90833333333333,NA,NA,79,52,6,7,1
"4",20170104,4.0375,NA,1.70833333333333,NA,NA,57,35,5,5,1
"5",20170105,3.6,NA,3.05833333333333,NA,NA,38,23,3,4,0
"6",20170106,5.60416666666667,NA,2.32916666666667,NA,NA,22,13.5,2,2,0
"7",20170107,4.40833333333333,NA,1.4625,NA,NA,56,40,5,6,1
"8",20170108,6.57916666666667,0,2.58333333333333,NA,0,32,22.5,3,4,0
"9",20170109,2.13333333333333,0,3.20833333333333,NA,0,61,46.5,5,6,1
"10",20170110,-3.225,NA,3.11666666666667,NA,NA,32,16,3,3,0
"11",20170111,-4.27916666666667,NA,2.08333333333333,NA,NA,25,12,2,2,0
"12",20170112,-1.67916666666667,0,3.1375,0.1,0,31,17,3,3,0
"13",20170113,-5.8375,0.3,2.7625,0.78,0,31,13,3,2,0
"14",20170114,-8.31666666666667,NA,3.75,NA,NA,47,12,4,2,0
"15",20170115,-6.85833333333333,NA,2.35,NA,NA,28,14,2,2,0
"16",20170116,-3.73333333333333,NA,1.36666666666667,NA,NA,48,26,4,5,1
"17",20170117,-2.26666666666667,NA,1.45833333333333,NA,NA,69,46,5,6,1
"18",20170118,-0.4125,0,1.29583333333333,NA,0,99,75,6,7,1
"19",20170119,-1.26666666666667,NA,1.5625,NA,NA,105,71,7,7,1
"20",20170120,-3.85416666666667,1.33333333333333,2.875,4.91428571428571,1,59,40,5,6,1
"21",20170121,-5.525,0.28,1.52916666666667,4.04583333333333,0,51,36,5,5,1
"22",20170122,-7.5625,0.35,3.5875,4.60416666666667,0,76,28,6,5,1
"23",20170123,-8.9,NA,2.3,2.925,NA,48.5,37,4,5,1
"24",20170124,-7.125,NA,1.875,2.0875,NA,41,30,4,5,1
"25",20170125,-5.3625,NA,1.57083333333333,1.75833333333333,NA,51,37,5,5,1
"26",20170126,-2.04166666666667,NA,2.18333333333333,1.35416666666667,NA,66,49,5,6,1
"27",20170127,-1.8125,1.65,3.48333333333333,0.9,1,111,20,7,3,1
"28",20170128,-2.07916666666667,NA,1.83333333333333,NA,NA,34,13,3,2,0
"29",20170129,0.995833333333333,0.82,1.79166666666667,1.35714285714286,0,28,17,2,3,0
"30",20170130,-4.28333333333333,0.25,3.43333333333333,1.88333333333333,0,50,35,4,5,1
"31",20170131,-5.49583333333333,NA,1.70416666666667,1.23333333333333,NA,30,19,2,3,0
"32",20170201,-3.7625,NA,2.49166666666667,0.723076923076923,NA,37,21,3,4,0
"33",20170202,-3.24166666666667,NA,2.71666666666667,NA,NA,34,18,3,3,0
"34",20170203,1.55416666666667,NA,1.5375,NA,NA,71,48,5,6,1
"35",20170204,0.675,NA,1.60833333333333,NA,NA,100,74,6,7,1
"36",20170205,1.5,0.125,2.13333333333333,NA,0,72,56,5,7,1
"37",20170206,-1.575,NA,3.01666666666667,NA,NA,42,28,4,5,1
"38",20170207,-2.07916666666667,NA,1.525,NA,NA,43,25,4,4,0
"39",20170208,-2.125,NA,2.1125,NA,NA,56,32,5,5,1
"40",20170209,-4.89583333333333,NA,3.69166666666667,NA,NA,54,20,5,3,1
"41",20170210,-6.54166666666667,NA,4.1375,NA,NA,34,18,3,3,0
"42",20170211,-5.0125,NA,2.7375,NA,NA,30,17,2,3,0
"43",20170212,-2.19583333333333,NA,2.17083333333333,NA,NA,32,18,3,3,0
"44",20170213,-0.0833333333333333,NA,1.55416666666667,NA,NA,46,29,4,5,1
"45",20170214,0.45,NA,2.59166666666667,NA,NA,54,34,5,5,1
"46",20170215,1.5875,NA,1.4,NA,NA,64,43,5,6,1
"47",20170216,4.86666666666667,NA,1.76666666666667,NA,NA,71,49,5,6,1
"48",20170217,2.07083333333333,1.33333333333333,3.9,NA,1,47,18,4,3,0
"49",20170218,-2.75416666666667,NA,2.86666666666667,NA,NA,32,18,3,3,0
"50",20170219,1.47083333333333,0.133333333333333,1.81666666666667,NA,0,45,27,4,5,1
"51",20170220,-0.645833333333333,0.366666666666667,4.24583333333333,NA,0,46,23,4,4,0
"52",20170221,-1.11666666666667,NA,1.6125,NA,NA,48,30,4,5,1
"53",20170222,1.79583333333333,1.02,2.52916666666667,NA,1,41,30,4,5,1
