2019년 집계구코드,도로명 주소
1101053010001 ,서울특별시 종로구 사직로9길 19
1101053010002 ,서울특별시 종로구 자하문로5길 18-13
1101053010003 ,서울특별시 종로구 인왕산로 23
1101053010004 ,서울특별시 종로구 자하문로6길 12-20
1101053010005 ,서울특별시 종로구 자하문로1길 38
1101053020001 ,서울특별시 종로구 새문안로 45
1101053020002 ,서울특별시 종로구 새문안로 75
1101053020003 ,서울특별시 종로구 새문안로5길 37
1101053020004 ,서울특별시 종로구 경희궁1길 33-14
1101053020201 ,서울특별시 종로구 사직로8길 4
1101053020202 ,서울특별시 종로구 사직로8길 4
1101053020203 ,서울특별시 종로구 경희궁길 57
1101053020204 ,서울특별시 종로구 사직로8길 4
1101053020301 ,서울특별시 종로구 사직로8길 20
1101053020501 ,서울특별시 종로구 새문안로3길 30
1101053020601 ,서울특별시 종로구 사직로8길 24
1101053020701 ,서울특별시 종로구 사직로8길 34
1101054010001 ,서울특별시 종로구 삼청로 110-1
1101054010002 ,서울특별시 종로구 율곡로3길 4
1101054010003 ,서울특별시 종로구 팔판길 12
1101054010004 ,서울특별시 종로구 삼청로11길 40
1101054010005 ,서울특별시 종로구 북촌로11라길 23
1101054010006 ,서울특별시 종로구 율곡로3길 87
1101055010001 ,서울특별시 종로구 세검정로7가길 17-4
1101055010002 ,서울특별시 종로구 세검정로7나길 7-3
1101055010003 ,서울특별시 종로구 진흥로 476-1
1101055010004 ,서울특별시 종로구 홍지문1길 4-12
1101055010005 ,서울특별시 종로구 홍지문2길 20
1101055010006 ,서울특별시 종로구 세검정로7나길 35
1101055020001 ,서울특별시 종로구 자하문로42길 50
1101055020002 ,서울특별시 종로구 세검정로6길 24
1101055020003 ,서울특별시 종로구 자하문로 260-16
1101055020004 ,서울특별시 종로구 백석동길 161
1101055020005 ,서울특별시 종로구 백석동길 256
1101055020006 ,서울특별시 종로구 자하문로40길 14-12
1101055020007 ,서울특별시 종로구 백석동2길 31
1101055020008 ,서울특별시 종로구 백석동길 15
1101055020009 ,서울특별시 종로구 세검정로6다길 10-6
1101055020010 ,서울특별시 종로구 자하문로42길 29-5
1101055020011 ,서울특별시 종로구 진흥로 491
1101055030001 ,서울특별시 종로구 창의문로9길 39
